認証番号,店名,住所,更新日,townid
2517,ビストロ シャルム,福井県大野市陽明町3-401,2021-08-02,E9138813851
2498,ホテル フレアール和泉,福井県大野市下山63-2-24,2021-08-02,E91385887
2461,一品料理 長谷川,福井県大野市桜塚町1008,2021-08-02,E91388135588
2436,おおもりや,福井県勝山市沢町2-7-27,2021-08-02,E91388168225
2434,大野食堂,福井県大野市要町3-9,2021-08-02,E91388138178
2427,魚中五,福井県勝山市元町2-2-3,2021-08-02,E9138816582
2419,喫茶 ウインディ,福井県大野市朝日35-3-5,2021-08-02,E913858884
2398,あまごの宿,福井県勝山市野向町横倉56-35,2021-08-02,E91388195
2381,Bunny Supertte,福井県大野市蕨生137-21-1,2021-08-02,E913882146
2378,Beer Café 麒麟,福井県大飯郡おおい町本郷144-18,2021-08-02,E913844165
2371,にっこり亭,福井県大野市美里町616,2021-08-02,E9138813822
2365,天,福井県勝山市元町1-2-3,2021-08-02,E9138816588
2349,御食事処 小ばやし,福井県敦賀市木崎23-6-3,2021-08-02,E913845966
2333,Cat viIIage（キャットヴィレッジ）,福井県勝山市村岡町浄土寺38-12,2021-08-02,E913881691
2327,IZAKAYA DAI,福井県小浜市小浜広峰1-1,2021-08-02,E91384437623
2324,蕎麦花亭,福井県勝山市旭町1-3-17,2021-08-02,E9138816591
2323,シルク du カフェ,福井県大野市元町9-22,2021-08-02,E9138813814
2322,食彩 ごえん,福井県小浜市小浜日吉57-2,2021-08-02,E91384437374
2304,手打ちそば 五郎兵衛,福井県小浜市加斗29-1-1,2021-08-02,E913844246
2300,スナック ちとせ,福井県小浜市大手町9-2,2021-08-02,E9138443739
2278,喫茶 バロック,福井県大野市陽明町1-1109,2021-08-02,E9138813819
2258,マクドナルド 大野ヴィオ店,福井県大野市鍬掛17-17-1,2021-08-02,E913881348
2247,お料理 やそはち,福井県越前市不老町16-15,2021-08-02,E913849981
2243,千成そば,福井県敦賀市野神43-3,2021-08-02,E9138467454
2242,洋菜酒場 マンモス,福井県小浜市小浜酒井1-23,2021-08-02,E91384437386
2234,炙り厨房 こんろ家 福井小浜店,福井県小浜市駅前町2-8 おおきどビル1F,2021-08-02,E9138443736
2219,和洋膳 茶の花,福井県越前市押田1-4-11,2021-08-02,E9138498839
