address,lat,lng
福井県大野市陽明町3-401,35.992618,136.498575
福井県大野市下山63-2-24,35.922103,136.645006
福井県大野市桜塚町1008,35.971407,136.500879
福井県勝山市沢町2-7-27,36.064187,136.501974
福井県大野市要町3-9,35.989362,136.490129
福井県勝山市元町2-2-3,36.055694,136.502868
福井県大野市朝日35-3-5,35.902813,136.658125
福井県勝山市野向町横倉56-35,36.123225,136.508178
福井県大野市蕨生137-21-1,35.972704,136.551213
福井県大飯郡おおい町本郷144-18,35.482781,135.623281
福井県大野市美里町616,35.983409,136.503478
福井県勝山市元町1-2-3,36.060978,136.4996
福井県敦賀市木崎23-6-3,35.645336,136.046805
福井県勝山市村岡町浄土寺38-12,36.073434,136.514095
福井県小浜市小浜広峰1-1,35.494887,135.742293
福井県勝山市旭町1-3-17,36.055007,136.509965
福井県大野市元町9-22,35.985238,136.49021
福井県小浜市小浜日吉57-2,35.495196,135.738853
福井県小浜市加斗29-1-1,35.482217,135.669522
福井県小浜市大手町9-2,35.496516,135.744418
福井県大野市陽明町1-1109,35.989335,136.494795
福井県大野市鍬掛17-17-1,35.974007,136.478422
福井県越前市不老町16-15,35.907048,136.243733
福井県敦賀市野神43-3,35.640276,136.049858
福井県小浜市小浜酒井1-23,35.494948,135.744264
福井県小浜市駅前町2-8 おおきどビル1F,35.492613,135.744553
福井県越前市押田1-4-11,35.907434,136.186349
福井県小浜市駅前町4-45,35.492949,135.743196
福井県敦賀市金ケ崎町4-1 赤レンガ倉庫,35.662005,136.074677
福井県小浜市小浜酒井1-83,35.494498,135.744159
福井県大飯郡おおい町本郷154-1-8,35.483136,135.617412
福井県大飯郡おおい町本郷137-7-1,35.480011,135.617747
福井県小浜市小浜香取3,35.491058,135.733787
福井県勝山市村岡町栃神谷11-6-1,36.092262,136.533101
福井県勝山市長山町2-7-20,36.070072,136.504924
福井県敦賀市元比田堂の上10-16,-,-
福井県大野市元町5-18,35.98545,136.489143
福井県福井市高木中央1丁目205,36.092852,136.232026
福井県勝山市本町2-6-3,36.059164,136.498239
福井県大飯郡高浜町宮崎86-48-1,35.487128,135.544747
福井県敦賀市白銀町11-5,35.648208,136.071672
福井県敦賀市呉竹町2-5-25-1,35.646246,136.056486
福井県勝山市村岡町浄土寺30-11,36.074474,136.514588
福井県敦賀市木崎13-28,35.640349,136.047726
福井県小浜市府中8-23,35.494991,135.756856
福井県小浜市駅前町7-16,35.492596,135.745991
福井県越前市粟田部町中央2-908,35.917934,136.244193
福井県敦賀市沓見137-8-16,35.643976,136.029283
福井県大飯郡高浜町宮崎第77号1番地8 若狭高浜駅内,35.486411,135.547623
福井県福井市日之出1-17-22,36.062495,136.225266
福井県福井市大町16字古川210-1,36.034266,136.216946
福井県小浜市府中15-13,35.493189,135.757892
福井県小浜市小浜白鬚37 D-1ビル4F,-,-
福井県敦賀市本町1-8-12,35.6522,136.073641
福井県大野市明倫町5-17,35.981833,136.488464
福井県勝山市元町1丁目14-21,36.058337,136.502217
福井県小浜市駅前町26-16-16 クロスポイント3Mビル2F,-,-
福井県福井市加茂河原4-1-14,36.05867,136.194516
福井県敦賀市野神43-17-4,35.639333,136.050026
福井県大飯郡高浜町事代6-1-1,35.494916,135.55199
福井県越前市上太田町2-9-15-1 カワイビル1F,-,-
福井県福井市城東1-15-18 第二イーストホーポ1F,36.060563,136.23434
福井県福井市上野本町3-2101,36.111684,136.242857
福井県越前市大屋48-7-3,35.895012,136.190925
福井県越前市桂町8-15,35.906581,136.164322
