認証番号,店名,住所,更新日,townid,geo3x3
0082,布作,福井県越前市粟田部町26-6,2021-08-11,E9138499768,E9138499768915
0083,鉄板焼 案山子,福井県あわら市二面5-208,2021-08-11,E913876292,E9138762684517
0084,カラオケ喫茶 香音,福井県勝山市本町4-7-21,2021-08-11,E91388165818,E9138816573999
0086,ふるさと渓流,福井県坂井市丸岡町山竹田70-4,2021-08-11,E91388412,E9138817876324
0088,ナイトルーム 妙,福井県福井市春山2-1-3 伊東ビル1F,2021-08-11,E91387367147,E9138736714515
0089,玉島荘,福井県丹生郡越前町玉川39-41,2021-08-11,E913872344,E9138723447163
0091,居酒屋 佐助,福井県勝山市芳野町2-1-64,2021-08-11,E91388247,E9138816825119
0092,トロン温泉浴施設 うらら館,福井県大野市南六呂師169-136,2021-08-11,E91388242,E9138824242978
0094,秋吉 新田塚店,福井県福井市経田1-1414,2021-08-11,E9138736779,E9138736779494
0095,谷よし,福井県勝山市本町2-5-2,2021-08-11,E91388165847,E9138816584734
0096,CaFe 結,福井県越前市村国3-17-5 YOU上の島1F,2021-08-11,E9138498865,E9138498861783
0097,スナック 鈴奈,福井県越前市桂町5-10,2021-08-11,E91384988186,E9138498818393
0098,カフェダイニング BOND,福井県越前市稲寄町24-1-27,2021-08-11,E9138498896,E9138498974267
0099,すなっく 5年3組,福井県敦賀市本町1-2-2 OKビル2F,2021-08-11,E91384677323,E91384677323
0101,錦場,福井県福井市南四ツ居1-9-21,2021-08-11,E91387365784,E9138736578816
0103,中華レストラン 百楽,福井県越前市小松2-23-9,2021-08-11,E9138498738,E9138498763195
0105,ロンシャン,福井県大野市日吉町19-10,2021-08-11,E9138813812,E9138813813439
0106,秋吉 上中店,福井県三方上中郡若狭町三宅92-2-15,2021-08-11,E913845137,E9138451536344
0108,ナイト・イン・モンステラ,福井県勝山市本町1-4-27,2021-08-11,E91388165796,E9138816587178
0109,びしゃもん,福井県福井市問屋町3-201,2021-08-11,E9138736557,E9138736557764
0110,九頭竜 天然鮎茶屋 さぎり屋,福井県吉田郡永平寺町松岡上合月36-50,2021-08-11,E9138817142,E9138739363369
0111,Ange,福井県大野市日吉町13-4,2021-08-11,E9138813812,E9138813813441
0112,カラオケ居酒屋 淳,福井県鯖江市幸町2-4-3 三好マンション202,2021-08-11,E9138732595,E9138732595
0113,郷土の味 かど宗,福井県坂井市丸岡町一本田31-10-1,2021-08-11,E9138739834,E9138739832658
0115,FRUITS & DRINK あいぽーと,福井県坂井市三国町安島64-1（東尋坊）,2021-08-11,E913876242,E9138761961396
0116,テキサスハンズ 四ツ居店,福井県福井市南四ツ居1-1-2,2021-08-11,E91387365784,E9138736577734
0117,maple＊honey,福井県福井市文京6-35-18,2021-08-11,E9138735955,E9138735957338
0118,Sニック’s bar 本道坊,福井県福井市西木田1-17-24,2021-08-11,E9138736471,E9138736471527
0119,Berceau,福井県福井市東森田3-1815,2021-08-11,,E9138739288745
0120,足立屋,福井県小浜市和多田31-9-3,2021-08-11,E913841889,E9138418883881
0121,佐々木隆文堂・和麗,福井県丹生郡越前町織田98-1,2021-08-11,E913873142,E9138731416722
0122,自家製麺食堂。 鯖の江,福井県鯖江市持明寺町10-19-3,2021-08-11,E9138732428,E9138732425956
0123,そば処 盛安,福井県坂井市三国町北本町3-2-30,2021-08-11,E913876242,E9138762458338
0124,お食事処 みつや,福井県小浜市小浜酒井1-52,2021-08-11,E91384437386,E9138443738619
0125,山仁,福井県福井市豊島2-3-17,2021-08-11,E91387364817,E9138736473959
0127,ことぶき,福井県越前市粟田部町29-38-2,2021-08-11,E9138499768,E9138499769889
0128,越前めん処 江戸屋,福井県越前市高瀬2-6-15,2021-08-11,E91384987333,E9138498577743
0129,魚𠮷,福井県鯖江市吉谷町23-16,2021-08-11,E913873344,E9138733448618
0131,Cafe＆Bar RED SHOES,福井県あわら市温泉5-1302 ハイム松月103号,2021-08-11,E91387626797,E9138762678947
0132,遊食楽呑 かんきち 鯖江本店,福井県鯖江市三六町1-14-6,2021-08-11,E9138732567,E9138732559863
0133,レストラン ときわ,福井県大野市友江12-6,2021-08-11,E9138813856,E9138813857532
0134,葛と鯖寿しの店 まる志ん,福井県三方上中郡若狭町熊川39-11-1,2021-08-11,E9138452152,E9138452153819
0135,サバエ・シティーホテル イル・ヴィゴーレ,福井県鯖江市桜町3-3-3,2021-08-11,E9138732295,E9138732292795
0136,魚栄楼,福井県越前市粟田部町29-36,2021-08-11,E9138499768,E9138499769974
0138,あぶりや親方,福井県大野市東中町812,2021-08-11,E9138813586,E9138813588237
0139,呑処 桃太郎,福井県大野市有明町19-14,2021-08-11,E9138813821,E9138813825155
